0,0.48,76,36
1,0.6,75,33
2,0.72,76,39
3,0.84,75,36
4,0.96,76,45
5,1.08,71,40
6,1.2,74,47
7,1.32,72,39
8,1.44,69,51
9,1.8,60,34
10,1.92,64,38
11,2.04,69,42
12,2.16,71,46
13,2.52,64,36
14,2.64,68,39
15,2.76,71,42
16,2.88,72,45
17,3.24,64,35
18,3.36,76,38
19,3.48,75,34
20,3.6,76,41
21,3.72,75,37
22,3.84,76,46
23,3.96,71,39
24,4.08,74,48
25,4.2,72,39
26,4.32,69,48
27,4.68,60,34
28,4.8,64,37
29,4.92,69,41
30,5.04,71,45
31,5.4,64,37
32,5.52,72,40
33,5.64,71,38
34,5.76,69,40
35,6.24,76,36
36,6.36,75,33
37,6.48,76,39
38,6.6,75,36
39,6.72,76,45
40,6.84,71,40
41,6.96,74,47
42,7.08,72,39
43,7.2,69,51
44,7.56,60,34
45,7.68,64,38
46,7.8,69,42
47,7.92,71,46
48,8.28,64,36
49,8.4,68,39
50,8.52,71,42
51,8.64,72,45
52,9.0,64,35
53,9.12,76,38
54,9.24,75,34
55,9.36,76,41
56,9.48,75,37
57,9.6,76,46
58,9.72,71,39
59,9.84,74,48
60,9.96,72,39
61,10.08,69,48
62,10.44,60,34
63,10.56,64,37
64,10.68,69,41
65,10.8,71,45
66,11.16,64,37
67,11.28,72,40
68,11.4,71,38
69,11.52,69,40
70,11.88,71,42
71,12.0,72,45
72,12.12,74,48
73,12.24,76,51
74,12.6,67,40
75,12.72,77,46
76,12.84,76,43
77,12.96,74,50
78,13.32,65,40
79,13.44,76,46
80,13.56,74,43
81,13.68,72,50
82,14.04,64,40
83,14.16,74,46
84,14.28,72,43
85,14.4,71,50
86,14.76,64,39
87,14.88,76,45
88,15.24,76,43
89,15.36,88,48
90,15.72,75,42
91,15.84,76,48
92,16.2,75,35
93,16.32,76,37
94,16.44,75,34
95,16.56,76,40
96,16.68,75,36
97,16.8,76,40
98,16.92,71,35
99,17.04,74,42
100,17.16,72,37
101,17.28,69,45
102,17.64,60,34
103,17.76,64,38
104,17.88,69,42
105,18.0,71,46
106,18.36,64,36
107,18.48,68,39
108,18.6,71,42
109,18.72,72,45
110,19.08,64,35
111,19.2,76,38
112,19.32,75,34
113,19.44,76,41
114,19.56,75,37
115,19.68,76,46
116,19.8,71,39
117,19.92,74,48
118,20.04,72,39
119,20.16,69,46
120,20.52,60,34
121,20.64,64,37
122,20.76,69,41
123,20.88,71,45
124,21.24,64,37
125,21.36,72,40
126,21.48,71,38
127,21.6,69,40
128,21.96,71,43
129,22.08,72,45
130,22.2,74,47
131,22.32,76,50
132,22.68,67,40
